Export,Tienda,Área,Periodo,Prod,VtaNeta,JEq,ProdMeta,VtaNetaMeta,JEqMeta,ProdAA,VtaNetaAA,JEqAA,CAPO,CAPO AA,CAPE AA,CAPE
Export,P223 Cusco Mall - PVH,,202503,121503,10544498,86.78400537634406,121842.7748475022,10553386,86.54184290531336,116041,10441970,89.40613575268819,,,,
Export,P102 Chiclayo - PVH,ALMACÉN FRESCOS,202505,121075,858671,6.959354838709677,139399.520737633,926767,6.1597817227515685,132761,903592,6.8061357526881725,7.0,7.0,7.0,7.0
Export,SO05 Tarapoto - PVO,,202505,120971,10776747,86.02459005376336,108260.06488602018,10085642,99.54498753853618,103105,9637808,90.9678696236558,,,,
Export,P126 Santa Clara - PVH,,202503,120956,11059698,91.43533602150531,120896.88741263519,12315081,91.48041654912058,115140,12059611,98.55948252688171,,,,
Export,P144 Huacho - PVH,ALMACÉN FRESCOS,202502,120954,394441,3.26109375,174558.2930343104,397150,2.259653111539481,166246,411541,2.475495689655173,5.0,5.0,3.0,4.5
Export,P089 Risso - PVH,FRESCOS,202505,120755,987071,8.174193548387096,91292.16311507071,1001340,10.812218884065986,86945,963652,11.08347446236559,11.0,13.0,12.0,10.0
Export,P089 Risso - PVH,FRESCOS,202503,120327,1081784,8.990342741935484,116661.47461685016,1022985,9.272843443415134,111106,1056199,9.506216397849466,11.0,13.0,12.0,10.0
Export,P724 Tumbes - PVH,,202503,120289,8253382,59.0848454301075,102617.39737322777,6868134,80.42868082087274,97731,6714535,65.41819892473116,,,,
Export,P145 Piura - PVH,SIN ELECTRO,202503,120284,11833882,98.3826948924731,111364.17792988873,10744039,106.26291434082358,106061,11076624,104.43623655913986,,,,
Export,P158 Villa el Salvador - PVS,ALMACÉN FRESCOS,202502,120192,360162,2.9965625,178161.5735357143,372135,2.0215460767010005,169678,382262,2.252873563218391,3.0,3.0,3.0,3.0
Export,P193 Trujillo Mansiche - PVS,,202503,120140,3175407,25.868245967741938,76191.68630122373,941378,41.67654837623668,72564,1112238,13.231599462365594,,,,
Export,V290 Asia - VIV,ABARROTES,202502,120138,2648614,22.04640625,175812.6007315365,2922091,15.064983220653211,167441,2921293,17.44674568965517,23.0,18.0,18.0,22.5
Export,V290 Asia - VIV,CAJAS,202505,120125,615986,5.1278763440860216,113668.36806360773,574346,5.41914932442155,108256,553400,5.111975806451613,5.0,5.0,5.0,5.0
Export,P193 Trujillo Mansiche - PVS,SIN ELECTRO,202503,120111,3174655,25.868245967741938,76103.02797209755,940086,41.715222568594214,72479,1111121,13.231599462365594,,,,
Export,P465 Sucre - PVH,FRESCOS,202501,120011,2056759,17.05064516129033,115842.13601972388,2078266,17.754842241943862,110326,1982987,17.973911290322587,20.5,20.5,20.0,20.0
Export,P010 Caminos del Inca - PVS,ELECTRO,202504,119897,101745,0.8486041666666667,237737.46461538458,109960,0.4279723019870038,226417,107312,0.47395833333333337,2.0,2.0,0.5,1.0
Export,P465 Sucre - PVH,FRESCOS,202505,119812,2122596,17.64362231182796,120021.5163413899,2202782,17.685132922021037,114306,2070844,18.116639784946244,20.5,20.5,20.0,22.5
Export,SO04 Jaen - PVO,,202506,119743,6491792,53.620826388888894,134887.29141029992,6662679,48.12752633792075,128464,6545758,50.777465277777814,,,,
Export,P201 Huaral - PVH,ALMACÉN FRESCOS,202502,119740,283777,2.369947916666667,112033.55726458553,262567,2.5329684866634485,106699,271397,2.5435847701149426,3.0,3.0,3.0,3.0
Export,P769 Chiclayo Aventura - PVH,,202503,119551,6436913,53.84232526881721,111379.65905814186,6168236,57.79253873133006,106076,6488249,61.166122311827955,,,,
Export,P117 Izaguirre - PVH,ALMACÉN FRESCOS,202506,119456,544993,4.562298611111111,122198.5045522646,612733,4.459902451317683,116380,589065,5.061583333333334,6.5,6.5,5.5,5.5
Export,P052 Brasil - PVH,ALMACÉN FRESCOS,202501,119178,723556,6.071229838709678,142299.83739642386,733047,5.084730968344619,135524,701707,5.177741935483872,7.0,6.5,4.5,7.0
Export,P159 Acho - PVH,ELECTRO,202503,118929,288695,2.4274663978494626,168626.6841849574,318541,1.7120363327748662,160597,345239,2.1497244623655916,2.5,2.5,2.5,2.5
Export,P139 Alameda Sur - PVS,FRESCOS,202506,118680,1514967,12.765180555555556,139912.39038890268,1553642,10.827967099904265,133250,1490514,11.185854166666665,14.5,16.0,12.5,14.0
Export,P104 Arequipa - PVH,,202503,118554,8040097,67.81819220430108,115289.11671409696,7462734,69.73856196624756,109799,7494466,68.25475134408603,,,,
Export,SO03 Huanuco - PVO,,202503,118438,9145751,72.54601478494615,123490.80790383097,8974387,74.0601757753686,117610,8936019,73.83720430107523,,,,
